content,score,at,translated_content,cleaned_content,tokenized_content,initial_token_count,stopword_removed_content,token_count,stemmed_content,ulasan_bersih,skor_lexicon,skor_lexicon_ke_score,sentimen_multiclass
"saran untuk yang mau berlangganan untuk menonton film dan tidak ingin mendapatkan kerugian JANGAN BERLANGGANAN aplikasi Disney+ Hotsar ini. layar gelap tapi ada subtitle dan suaranya, resolusi tiba-tiba jadi kabur padahal udah berlangganan yang Full HD(1080) mana harga berlangganan nya 50ribuan lebih lagi, terus koneksi jaringan tiba-tiba naik turun sendiri padahal paket data baru dibeli dan tidak ada masalah jaringan dalam menonton YouTube buka media sosial dll. Tolong segera diperbaiki!!!",1,2025-04-07 01:08:24,"saran untuk yang mau berlangganan untuk menonton film dan tidak ingin mendapatkan kerugian JANGAN BERLANGGANAN aplikasi Disney+ Hotsar ini. layar gelap tapi ada subtitle dan suaranya, resolusi tiba-tiba jadi kabur padahal udah berlangganan yang Full HD(1080) mana harga berlangganan nya 50ribuan lebih lagi, terus koneksi jaringan tiba-tiba naik turun sendiri padahal paket data baru dibeli dan tidak ada masalah jaringan dalam menonton YouTube buka media sosial dll. Tolong segera diperbaiki!!!",saran untuk yang mau berlangganan untuk menonton film dan tidak ingin mendapatkan kerugian jangan berlangganan aplikasi disney hotsar ini layar gelap tapi ada subtitle dan suaranya resolusi tibatiba jadi kabur padahal udah berlangganan yang full hd mana harga berlangganan nya ribuan lebih lagi terus koneksi jaringan tibatiba naik turun sendiri padahal paket data baru dibeli dan tidak ada masalah jaringan dalam menonton youtube buka media sosial dll tolong segera diperbaiki,"['saran', 'untuk', 'yang', 'mau', 'berlangganan', 'untuk', 'menonton', 'film', 'dan', 'tidak', 'ingin', 'mendapatkan', 'kerugian', 'jangan', 'berlangganan', 'aplikasi', 'disney', 'hotsar', 'ini', 'layar', 'gelap', 'tapi', 'ada', 'subtitle', 'dan', 'suaranya', 'resolusi', 'tibatiba', 'jadi', 'kabur', 'padahal', 'udah', 'berlangganan', 'yang', 'full', 'hd', 'mana', 'harga', 'berlangganan', 'nya', 'ribuan', 'lebih', 'lagi', 'terus', 'koneksi', 'jaringan', 'tibatiba', 'naik', 'turun', 'sendiri', 'padahal', 'paket', 'data', 'baru', 'dibeli', 'dan', 'tidak', 'ada', 'masalah', 'jaringan', 'dalam', 'menonton', 'youtube', 'buka', 'media', 'sosial', 'dll', 'tolong', 'segera', 'diperbaiki']",70,"['saran', 'berlangganan', 'menonton', 'film', 'kerugian', 'berlangganan', 'hotsar', 'layar', 'gelap', 'subtitle', 'suaranya', 'resolusi', 'tibatiba', 'kabur', 'berlangganan', 'full', 'hd', 'harga', 'berlangganan', 'ribuan', 'koneksi', 'jaringan', 'tibatiba', 'turun', 'paket', 'data', 'dibeli', 'jaringan', 'menonton', 'youtube', 'buka', 'media', 'sosial', 'dll', 'diperbaiki']",35,"['saran', 'langgan', 'tonton', 'film', 'rugi', 'langgan', 'hotsar', 'layar', 'gelap', 'subtitle', 'suara', 'resolusi', 'tibatiba', 'kabur', 'langgan', 'full', 'hd', 'harga', 'langgan', 'ribu', 'koneksi', 'jaring', 'tibatiba', 'turun', 'paket', 'data', 'beli', 'jaring', 'tonton', 'youtube', 'buka', 'media', 'sosial', 'dll', 'baik']",saran langgan tonton film rugi langgan hotsar layar gelap subtitle suara resolusi tibatiba kabur langgan full hd harga langgan ribu koneksi jaring tibatiba turun paket data beli jaring tonton youtube buka media sosial dll baik,-12,1,Negatif
kenapa gbsa pake DANA lagi??,2,2025-04-07 00:40:16,kenapa gbsa pake DANA lagi??,kenapa gbsa pake dana lagi,"['kenapa', 'gbsa', 'pake', 'dana', 'lagi']",5,"['gbsa', 'pake', 'dana']",3,"['gbsa', 'pake', 'dana']",gbsa pake dana,4,5,Positif
"sebelum nya aku ingin berterima kasih kepada pihak yang menyediakan aplikasi ini, karena film yang ada di aplikasi ini cukup banyak dan sangat seru di antara nya, aku cukup tertarik atas hal ini, tapi mohon untuk pihak penyedia aplikasi ini untuk memperbaiki masalah yang ada di dalam nya, tapi bagusnya masalah nya tidak terlalu banyak, aku hanya ingin memperbaiki masalah di mana saat aku ingin mengunduh film namun gagal itu tidak dapat di hapus atau diunduh ulang aku sangat kesal untuk hal itu:>",5,2025-04-06 18:22:58,"sebelum nya aku ingin berterima kasih kepada pihak yang menyediakan aplikasi ini, karena film yang ada di aplikasi ini cukup banyak dan sangat seru di antara nya, aku cukup tertarik atas hal ini, tapi mohon untuk pihak penyedia aplikasi ini untuk memperbaiki masalah yang ada di dalam nya, tapi bagusnya masalah nya tidak terlalu banyak, aku hanya ingin memperbaiki masalah di mana saat aku ingin mengunduh film namun gagal itu tidak dapat di hapus atau diunduh ulang aku sangat kesal untuk hal itu:>",sebelum nya aku ingin berterima kasih kepada pihak yang menyediakan aplikasi ini karena film yang ada di aplikasi ini cukup banyak dan sangat seru di antara nya aku cukup tertarik atas hal ini tapi mohon untuk pihak penyedia aplikasi ini untuk memperbaiki masalah yang ada di dalam nya tapi bagusnya masalah nya tidak terlalu banyak aku hanya ingin memperbaiki masalah di mana saat aku ingin mengunduh film namun gagal itu tidak dapat di hapus atau diunduh ulang aku sangat kesal untuk hal itu,"['sebelum', 'nya', 'aku', 'ingin', 'berterima', 'kasih', 'kepada', 'pihak', 'yang', 'menyediakan', 'aplikasi', 'ini', 'karena', 'film', 'yang', 'ada', 'di', 'aplikasi', 'ini', 'cukup', 'banyak', 'dan', 'sangat', 'seru', 'di', 'antara', 'nya', 'aku', 'cukup', 'tertarik', 'atas', 'hal', 'ini', 'tapi', 'mohon', 'untuk', 'pihak', 'penyedia', 'aplikasi', 'ini', 'untuk', 'memperbaiki', 'masalah', 'yang', 'ada', 'di', 'dalam', 'nya', 'tapi', 'bagusnya', 'masalah', 'nya', 'tidak', 'terlalu', 'banyak', 'aku', 'hanya', 'ingin', 'memperbaiki', 'masalah', 'di', 'mana', 'saat', 'aku', 'ingin', 'mengunduh', 'film', 'namun', 'gagal', 'itu', 'tidak', 'dapat', 'di', 'hapus', 'atau', 'diunduh', 'ulang', 'aku', 'sangat', 'kesal', 'untuk', 'hal', 'itu']",83,"['berterima', 'kasih', 'menyediakan', 'film', 'seru', 'tertarik', 'mohon', 'penyedia', 'memperbaiki', 'bagusnya', 'memperbaiki', 'mengunduh', 'film', 'gagal', 'hapus', 'diunduh', 'ulang', 'kesal']",18,"['terima', 'kasih', 'sedia', 'film', 'seru', 'tarik', 'mohon', 'sedia', 'baik', 'bagus', 'baik', 'unduh', 'film', 'gagal', 'hapus', 'unduh', 'ulang', 'kesal']",terima kasih sedia film seru tarik mohon sedia baik bagus baik unduh film gagal hapus unduh ulang kesal,-18,1,Negatif
terlalu sering error,1,2025-04-06 15:15:14,terlalu sering error,terlalu sering error,"['terlalu', 'sering', 'error']",3,['error'],1,['error'],error,-5,1,Negatif
ok,5,2025-04-06 15:08:42,Oke,oke,['oke'],1,['oke'],1,['oke'],oke,2,4,Positif
tidak ada gambar saat memutar film yang ingin di tonton🙏🙏🙏,2,2025-04-06 14:34:10,tidak ada gambar saat memutar film yang ingin di tonton🙏🙏🙏,tidak ada gambar saat memutar film yang ingin di tonton🙏🙏🙏,"['tidak', 'ada', 'gambar', 'saat', 'memutar', 'film', 'yang', 'ingin', 'di', 'tonton🙏🙏🙏']",10,"['gambar', 'memutar', 'film', 'tonton🙏🙏🙏']",4,"['gambar', 'putar', 'film', 'tonton']",gambar putar film tonton,-7,1,Negatif
"sudah langganan tapi bari pakai beberapa hari, aplikasi tdk boaa digunakan... suara ada gambar hitam atau tdk ada.. trs loading trs ngk bisa keluar gambar segala cara dicoba tapi tidka bisa keluar gmbar",2,2025-04-06 13:59:44,"sudah langganan tapi bari pakai beberapa hari, aplikasi tdk boaa digunakan... suara ada gambar hitam atau tdk ada.. trs loading trs ngk bisa keluar gambar segala cara dicoba tapi tidka bisa keluar gmbar",sudah langganan tapi bari pakai beberapa hari aplikasi tdk boaa digunakan suara ada gambar hitam atau tdk ada trs loading trs ngk bisa keluar gambar segala cara dicoba tapi tidka bisa keluar gmbar,"['sudah', 'langganan', 'tapi', 'bari', 'pakai', 'beberapa', 'hari', 'aplikasi', 'tdk', 'boaa', 'digunakan', 'suara', 'ada', 'gambar', 'hitam', 'atau', 'tdk', 'ada', 'trs', 'loading', 'trs', 'ngk', 'bisa', 'keluar', 'gambar', 'segala', 'cara', 'dicoba', 'tapi', 'tidka', 'bisa', 'keluar', 'gmbar']",33,"['langganan', 'bari', 'pakai', 'tdk', 'boaa', 'suara', 'gambar', 'hitam', 'tdk', 'trs', 'loading', 'trs', 'ngk', 'gambar', 'dicoba', 'tidka', 'gmbar']",17,"['langgan', 'bari', 'pakai', 'tdk', 'boaa', 'suara', 'gambar', 'hitam', 'tdk', 'trs', 'loading', 'trs', 'ngk', 'gambar', 'coba', 'tidka', 'gmbar']",langgan bari pakai tdk boaa suara gambar hitam tdk trs loading trs ngk gambar coba tidka gmbar,-10,1,Negatif
"Ga bisa login, udh masukkan nomor yg bener tpi g bisa karna kode negara ga sesuai. padahal di situ tertulis +62. Udh ku ikutin cara yg di tertulis dari aplikasi ini tpi tetap tidak bisa sedangkan aku lihat tutorial di YT rata² bisa. ini knp ya? padahal udh excited mau nonton",1,2025-04-06 12:50:18,"Ga bisa login, udh masukkan nomor yg bener tpi g bisa karna kode negara ga sesuai. padahal di situ tertulis +62. Udh ku ikutin cara yg di tertulis dari aplikasi ini tpi tetap tidak bisa sedangkan aku lihat tutorial di YT rata² bisa. ini knp ya? padahal udh excited mau nonton",ga bisa login udh masukkan nomor yg bener tpi g bisa karna kode negara ga sesuai padahal di situ tertulis udh ku ikutin cara yg di tertulis dari aplikasi ini tpi tetap tidak bisa sedangkan aku lihat tutorial di yt rata² bisa ini knp ya padahal udh excited mau nonton,"['ga', 'bisa', 'login', 'udh', 'masukkan', 'nomor', 'yg', 'bener', 'tpi', 'g', 'bisa', 'karna', 'kode', 'negara', 'ga', 'sesuai', 'padahal', 'di', 'situ', 'tertulis', 'udh', 'ku', 'ikutin', 'cara', 'yg', 'di', 'tertulis', 'dari', 'aplikasi', 'ini', 'tpi', 'tetap', 'tidak', 'bisa', 'sedangkan', 'aku', 'lihat', 'tutorial', 'di', 'yt', 'rata²', 'bisa', 'ini', 'knp', 'ya', 'padahal', 'udh', 'excited', 'mau', 'nonton']",50,"['login', 'masukkan', 'nomor', 'bener', 'tpi', 'g', 'karna', 'kode', 'negara', 'sesuai', 'situ', 'tertulis', 'ku', 'ikutin', 'tertulis', 'tpi', 'lihat', 'tutorial', 'yt', 'rata²', 'knp', 'excited', 'nonton']",23,"['login', 'masuk', 'nomor', 'bener', 'tpi', 'g', 'karna', 'kode', 'negara', 'sesuai', 'situ', 'tulis', 'ku', 'ikutin', 'tulis', 'tpi', 'lihat', 'tutorial', 'yt', 'rata', 'knp', 'excited', 'nonton']",login masuk nomor bener tpi g karna kode negara sesuai situ tulis ku ikutin tulis tpi lihat tutorial yt rata knp excited nonton,-6,1,Negatif
sudah diakali berkali kali tapi kalo pake wifi rumah gk bisa giliran pake kuota bisa,1,2025-04-06 09:18:53,sudah diakali berkali kali tapi kalo pake wifi rumah gk bisa giliran pake kuota bisa,sudah diakali berkali kali tapi kalo pake wifi rumah gk bisa giliran pake kuota bisa,"['sudah', 'diakali', 'berkali', 'kali', 'tapi', 'kalo', 'pake', 'wifi', 'rumah', 'gk', 'bisa', 'giliran', 'pake', 'kuota', 'bisa']",15,"['diakali', 'berkali', 'kali', 'kalo', 'pake', 'wifi', 'rumah', 'gk', 'giliran', 'pake', 'kuota']",11,"['akal', 'kali', 'kali', 'kalo', 'pake', 'wifi', 'rumah', 'gk', 'gilir', 'pake', 'kuota']",akal kali kali kalo pake wifi rumah gk gilir pake kuota,1,3,Netral
aplikasi jelek.,1,2025-04-06 08:28:01,aplikasi jelek.,aplikasi jelek,"['aplikasi', 'jelek']",2,[],0,[],,0,3,Netral
"bagus, layanan aplikasi film dan series yang cukup banyak pilihan.",5,2025-04-06 05:12:05,"bagus, layanan aplikasi film dan series yang cukup banyak pilihan.",bagus layanan aplikasi film dan series yang cukup banyak pilihan,"['bagus', 'layanan', 'aplikasi', 'film', 'dan', 'series', 'yang', 'cukup', 'banyak', 'pilihan']",10,"['layanan', 'film', 'series', 'pilihan']",4,"['layan', 'film', 'series', 'pilih']",layan film series pilih,-4,1,Negatif
Good,4,2025-04-06 04:12:49,Bagus,bagus,['bagus'],1,[],0,[],,0,3,Netral
bagusss bisa di putar dan kualitas gambar nya baguss,5,2025-04-06 03:19:09,bagusss bisa di putar dan kualitas gambar nya baguss,bagusss bisa di putar dan kualitas gambar nya baguss,"['bagusss', 'bisa', 'di', 'putar', 'dan', 'kualitas', 'gambar', 'nya', 'baguss']",9,"['bagusss', 'putar', 'kualitas', 'gambar', 'baguss']",5,"['bagusss', 'putar', 'kualitas', 'gambar', 'baguss']",bagusss putar kualitas gambar baguss,1,3,Netral
"layar hitam gelap setelah update, hanya bisa lihat terjemahan substitle",1,2025-04-06 02:07:59,"layar hitam gelap setelah update, hanya bisa lihat terjemahan substitle",layar hitam gelap setelah update hanya bisa lihat terjemahan substitle,"['layar', 'hitam', 'gelap', 'setelah', 'update', 'hanya', 'bisa', 'lihat', 'terjemahan', 'substitle']",10,"['layar', 'hitam', 'gelap', 'update', 'lihat', 'terjemahan', 'substitle']",7,"['layar', 'hitam', 'gelap', 'update', 'lihat', 'terjemah', 'substitle']",layar hitam gelap update lihat terjemah substitle,-5,1,Negatif
"Sering sekali bermasalah, dari mulai saat streaming layar tiba-tiba hitam tetapi tetap ada suaranya, sudah pilih resolusi yang hd tetapi terkadang malah buram jelek.",2,2025-04-06 01:38:52,"Sering sekali bermasalah, dari mulai saat streaming layar tiba-tiba hitam tetapi tetap ada suaranya, sudah pilih resolusi yang hd tetapi terkadang malah buram jelek.",sering sekali bermasalah dari mulai saat streaming layar tibatiba hitam tetapi tetap ada suaranya sudah pilih resolusi yang hd tetapi terkadang malah buram jelek,"['sering', 'sekali', 'bermasalah', 'dari', 'mulai', 'saat', 'streaming', 'layar', 'tibatiba', 'hitam', 'tetapi', 'tetap', 'ada', 'suaranya', 'sudah', 'pilih', 'resolusi', 'yang', 'hd', 'tetapi', 'terkadang', 'malah', 'buram', 'jelek']",24,"['bermasalah', 'streaming', 'layar', 'tibatiba', 'hitam', 'suaranya', 'pilih', 'resolusi', 'hd', 'terkadang', 'buram']",11,"['masalah', 'streaming', 'layar', 'tibatiba', 'hitam', 'suara', 'pilih', 'resolusi', 'hd', 'terkadang', 'buram']",masalah streaming layar tibatiba hitam suara pilih resolusi hd terkadang buram,-8,1,Negatif
"aplikasi kebanyakan trouble, klo blom siap mending jangan di rilis aplikasi sampah kaya gini",1,2025-04-05 18:35:15,"aplikasi kebanyakan trouble, klo blom siap mending jangan di rilis aplikasi sampah kaya gini",aplikasi kebanyakan trouble klo blom siap mending jangan di rilis aplikasi sampah kaya gini,"['aplikasi', 'kebanyakan', 'trouble', 'klo', 'blom', 'siap', 'mending', 'jangan', 'di', 'rilis', 'aplikasi', 'sampah', 'kaya', 'gini']",14,"['kebanyakan', 'trouble', 'klo', 'blom', 'mending', 'rilis', 'sampah', 'kaya', 'gini']",9,"['banyak', 'trouble', 'klo', 'blom', 'mending', 'rilis', 'sampah', 'kaya', 'gin']",banyak trouble klo blom mending rilis sampah kaya gin,-9,1,Negatif
saya heran pakai nomor kok gak bisa pdhal itu nomor Happon Lo ko tetap gak bisa,1,2025-04-05 14:04:14,saya heran pakai nomor kok gak bisa pdhal itu nomor Happon Lo ko tetap gak bisa,saya heran pakai nomor kok gak bisa pdhal itu nomor happon lo ko tetap gak bisa,"['saya', 'heran', 'pakai', 'nomor', 'kok', 'gak', 'bisa', 'pdhal', 'itu', 'nomor', 'happon', 'lo', 'ko', 'tetap', 'gak', 'bisa']",16,"['heran', 'pakai', 'nomor', 'pdhal', 'nomor', 'happon', 'lo', 'ko']",8,"['heran', 'pakai', 'nomor', 'pdhal', 'nomor', 'happon', 'lo', 'ko']",heran pakai nomor pdhal nomor happon lo ko,-5,1,Negatif
"Cuma pakai 1 perangkat, tetapi ditulis menggunakan lebih banyak perangkat. Tolong diperbaiki.",1,2025-04-05 06:29:46,"Cuma pakai 1 perangkat, tetapi ditulis menggunakan lebih banyak perangkat. Tolong diperbaiki.",cuma pakai perangkat tetapi ditulis menggunakan lebih banyak perangkat tolong diperbaiki,"['cuma', 'pakai', 'perangkat', 'tetapi', 'ditulis', 'menggunakan', 'lebih', 'banyak', 'perangkat', 'tolong', 'diperbaiki']",11,"['pakai', 'perangkat', 'ditulis', 'perangkat', 'diperbaiki']",5,"['pakai', 'perangkat', 'tulis', 'perangkat', 'baik']",pakai perangkat tulis perangkat baik,-1,3,Netral
"baru beli kemarin, terus baru nyoba nonton hari ini. pas streaming padahal baru detik 10 streaming uda ngelag parah padahal uda pake wifi dan lancar. tolong dong diperbaiki.",1,2025-04-05 03:20:24,"baru beli kemarin, terus baru nyoba nonton hari ini. pas streaming padahal baru detik 10 streaming uda ngelag parah padahal uda pake wifi dan lancar. tolong dong diperbaiki.",baru beli kemarin terus baru nyoba nonton hari ini pas streaming padahal baru detik streaming uda ngelag parah padahal uda pake wifi dan lancar tolong dong diperbaiki,"['baru', 'beli', 'kemarin', 'terus', 'baru', 'nyoba', 'nonton', 'hari', 'ini', 'pas', 'streaming', 'padahal', 'baru', 'detik', 'streaming', 'uda', 'ngelag', 'parah', 'padahal', 'uda', 'pake', 'wifi', 'dan', 'lancar', 'tolong', 'dong', 'diperbaiki']",27,"['beli', 'kemarin', 'nyoba', 'nonton', 'streaming', 'detik', 'streaming', 'uda', 'ngelag', 'parah', 'uda', 'pake', 'wifi', 'lancar', 'diperbaiki']",15,"['beli', 'kemarin', 'nyoba', 'nonton', 'streaming', 'detik', 'streaming', 'uda', 'ngelag', 'parah', 'uda', 'pake', 'wifi', 'lancar', 'baik']",beli kemarin nyoba nonton streaming detik streaming uda ngelag parah uda pake wifi lancar baik,-11,1,Negatif
Aplikasi cacat nii,1,2025-04-04 10:59:45,Aplikasi cacat nii,aplikasi cacat nii,"['aplikasi', 'cacat', 'nii']",3,"['cacat', 'nii']",2,"['cacat', 'nii']",cacat nii,-5,1,Negatif
"belum juga login udah di suruh berlangganan bulanan🗿 mending kalo aplikasinya kagak lag dan apa"" ke detect internetnya, bisa masuk kaga di paksa langganan iya. kocak emang",1,2025-04-04 09:12:31,"Belum lagi login telah diperintahkan untuk berlangganan 🗿 menteri bulanan jika aplikasi itu kagak lag dan apa ""untuk deteksi internet, dapat memasukkan kaga dengan memaksa langganannya.",belum lagi login telah diperintahkan untuk berlangganan 🗿 menteri bulanan jika aplikasi itu kagak lag dan apa untuk deteksi internet dapat memasukkan kaga dengan memaksa langganannya,"['belum', 'lagi', 'login', 'telah', 'diperintahkan', 'untuk', 'berlangganan', '🗿', 'menteri', 'bulanan', 'jika', 'aplikasi', 'itu', 'kagak', 'lag', 'dan', 'apa', 'untuk', 'deteksi', 'internet', 'dapat', 'memasukkan', 'kaga', 'dengan', 'memaksa', 'langganannya']",26,"['login', 'diperintahkan', 'berlangganan', '🗿', 'menteri', 'bulanan', 'kagak', 'lag', 'deteksi', 'internet', 'memasukkan', 'kaga', 'memaksa', 'langganannya']",14,"['login', 'perintah', 'langgan', '', 'menteri', 'bulan', 'kagak', 'lag', 'deteksi', 'internet', 'masuk', 'kaga', 'paksa', 'langgan']",login perintah langgan  menteri bulan kagak lag deteksi internet masuk kaga paksa langgan,-7,1,Negatif
Sering bermasalah layar tiba² hitam dan minta di update lgi,1,2025-04-04 09:10:44,Sering bermasalah layar tiba² hitam dan minta di update lgi,sering bermasalah layar tiba² hitam dan minta di update lgi,"['sering', 'bermasalah', 'layar', 'tiba²', 'hitam', 'dan', 'minta', 'di', 'update', 'lgi']",10,"['bermasalah', 'layar', 'tiba²', 'hitam', 'update', 'lgi']",6,"['masalah', 'layar', 'tiba', 'hitam', 'update', 'lgi']",masalah layar tiba hitam update lgi,-8,1,Negatif
"kocak ni platform, kaga bisa stream di satu device kalau yang lain lagi streaming. kalau memang gabisa gitu, kenapa dibuat maksimal akun yang log in? padahal maunya sharing sm keluarga, malah harus gantian yang nonton.",1,2025-04-04 09:10:39,"kocak ni platform, kaga bisa stream di satu device kalau yang lain lagi streaming. kalau memang gabisa gitu, kenapa dibuat maksimal akun yang log in? padahal maunya sharing sm keluarga, malah harus gantian yang nonton.",kocak ni platform kaga bisa stream di satu device kalau yang lain lagi streaming kalau memang gabisa gitu kenapa dibuat maksimal akun yang log in padahal maunya sharing sm keluarga malah harus gantian yang nonton,"['kocak', 'ni', 'platform', 'kaga', 'bisa', 'stream', 'di', 'satu', 'device', 'kalau', 'yang', 'lain', 'lagi', 'streaming', 'kalau', 'memang', 'gabisa', 'gitu', 'kenapa', 'dibuat', 'maksimal', 'akun', 'yang', 'log', 'in', 'padahal', 'maunya', 'sharing', 'sm', 'keluarga', 'malah', 'harus', 'gantian', 'yang', 'nonton']",35,"['kocak', 'ni', 'platform', 'kaga', 'stream', 'device', 'streaming', 'gabisa', 'gitu', 'maksimal', 'akun', 'log', 'in', 'maunya', 'sharing', 'sm', 'keluarga', 'gantian', 'nonton']",19,"['kocak', 'ni', 'platform', 'kaga', 'stream', 'device', 'streaming', 'gabisa', 'gitu', 'maksimal', 'akun', 'log', 'in', 'mau', 'sharing', 'sm', 'keluarga', 'ganti', 'nonton']",kocak ni platform kaga stream device streaming gabisa gitu maksimal akun log in mau sharing sm keluarga ganti nonton,-3,2,Negatif
"kenapa kok kayak ribet banget yaa, mau apa2 malah di arahin ke websitenya terus, sekelas disney lho ini",1,2025-04-04 07:56:43,"kenapa kok kayak ribet banget yaa, mau apa2 malah di arahin ke websitenya terus, sekelas disney lho ini",kenapa kok kayak ribet banget yaa mau apa malah di arahin ke websitenya terus sekelas disney lho ini,"['kenapa', 'kok', 'kayak', 'ribet', 'banget', 'yaa', 'mau', 'apa', 'malah', 'di', 'arahin', 'ke', 'websitenya', 'terus', 'sekelas', 'disney', 'lho', 'ini']",18,"['kayak', 'ribet', 'yaa', 'arahin', 'websitenya', 'sekelas', 'lho']",7,"['kayak', 'ribet', 'yaa', 'arahin', 'websitenya', 'kelas', 'lho']",kayak ribet yaa arahin websitenya kelas lho,-10,1,Negatif
gajelas mau masukin nomor telpon malah gabisa padahal jaringan bagus,1,2025-04-04 05:45:15,gajelas mau masukin nomor telpon malah gabisa padahal jaringan bagus,gajelas mau masukin nomor telpon malah gabisa padahal jaringan bagus,"['gajelas', 'mau', 'masukin', 'nomor', 'telpon', 'malah', 'gabisa', 'padahal', 'jaringan', 'bagus']",10,"['gajelas', 'masukin', 'nomor', 'telpon', 'gabisa', 'jaringan']",6,"['gajelas', 'masukin', 'nomor', 'telpon', 'gabisa', 'jaring']",gajelas masukin nomor telpon gabisa jaring,3,4,Positif
aplikasinya kenapa ya padahal saya udah login tapi disuruh mengelola akses akun lagi tapi lewat email bingung saya,2,2025-04-03 22:07:20,aplikasinya kenapa ya padahal saya udah login tapi disuruh mengelola akses akun lagi tapi lewat email bingung saya,aplikasinya kenapa ya padahal saya udah login tapi disuruh mengelola akses akun lagi tapi lewat email bingung saya,"['aplikasinya', 'kenapa', 'ya', 'padahal', 'saya', 'udah', 'login', 'tapi', 'disuruh', 'mengelola', 'akses', 'akun', 'lagi', 'tapi', 'lewat', 'email', 'bingung', 'saya']",18,"['aplikasinya', 'login', 'disuruh', 'mengelola', 'akses', 'akun', 'email', 'bingung']",8,"['aplikasi', 'login', 'suruh', 'kelola', 'akses', 'akun', 'email', 'bingung']",aplikasi login suruh kelola akses akun email bingung,-4,1,Negatif
apl gk bisa digunakan,1,2025-04-03 16:38:19,apl gk bisa digunakan,apl gk bisa digunakan,"['apl', 'gk', 'bisa', 'digunakan']",4,"['apl', 'gk']",2,"['apl', 'gk']",apl gk,0,3,Netral
"yappss untuk awal langganan memang perlu sabar, dan aplikasi nya membutuhkan jaringan yang kuat. Terimakasih sudah bisa kembali menikmati film. Disney+Hotstar",5,2025-04-03 15:00:22,"yappss untuk awal langganan memang perlu sabar, dan aplikasi nya membutuhkan jaringan yang kuat. Terimakasih sudah bisa kembali menikmati film. Disney+Hotstar",yappss untuk awal langganan memang perlu sabar dan aplikasi nya membutuhkan jaringan yang kuat terimakasih sudah bisa kembali menikmati film disneyhotstar,"['yappss', 'untuk', 'awal', 'langganan', 'memang', 'perlu', 'sabar', 'dan', 'aplikasi', 'nya', 'membutuhkan', 'jaringan', 'yang', 'kuat', 'terimakasih', 'sudah', 'bisa', 'kembali', 'menikmati', 'film', 'disneyhotstar']",21,"['yappss', 'langganan', 'sabar', 'membutuhkan', 'jaringan', 'kuat', 'terimakasih', 'menikmati', 'film', 'disneyhotstar']",10,"['yappss', 'langgan', 'sabar', 'butuh', 'jaring', 'kuat', 'terimakasih', 'nikmat', 'film', 'disneyhotstar']",yappss langgan sabar butuh jaring kuat terimakasih nikmat film disneyhotstar,10,5,Positif
"baru beberapa hari langganan kok aplikasinya bermasalah, mulai dari resolusi yang pilih hd kok tetep aja kurang dan burem padahal jaringannya cukup bagus, dan aku nonton hasil download kok lama dan tulisannya error, agak menyesal sih langganan, tolong di perbaiki dong :(",1,2025-04-03 14:46:58,"baru beberapa hari langganan kok aplikasinya bermasalah, mulai dari resolusi yang pilih hd kok tetep aja kurang dan burem padahal jaringannya cukup bagus, dan aku nonton hasil download kok lama dan tulisannya error, agak menyesal sih langganan, tolong di perbaiki dong :(",baru beberapa hari langganan kok aplikasinya bermasalah mulai dari resolusi yang pilih hd kok tetep aja kurang dan burem padahal jaringannya cukup bagus dan aku nonton hasil download kok lama dan tulisannya error agak menyesal sih langganan tolong di perbaiki dong,"['baru', 'beberapa', 'hari', 'langganan', 'kok', 'aplikasinya', 'bermasalah', 'mulai', 'dari', 'resolusi', 'yang', 'pilih', 'hd', 'kok', 'tetep', 'aja', 'kurang', 'dan', 'burem', 'padahal', 'jaringannya', 'cukup', 'bagus', 'dan', 'aku', 'nonton', 'hasil', 'download', 'kok', 'lama', 'dan', 'tulisannya', 'error', 'agak', 'menyesal', 'sih', 'langganan', 'tolong', 'di', 'perbaiki', 'dong']",41,"['langganan', 'aplikasinya', 'bermasalah', 'resolusi', 'pilih', 'hd', 'tetep', 'burem', 'jaringannya', 'nonton', 'hasil', 'download', 'tulisannya', 'error', 'menyesal', 'sih', 'langganan', 'perbaiki']",18,"['langgan', 'aplikasi', 'masalah', 'resolusi', 'pilih', 'hd', 'tetep', 'burem', 'jaring', 'nonton', 'hasil', 'download', 'tulis', 'error', 'sesal', 'sih', 'langgan', 'baik']",langgan aplikasi masalah resolusi pilih hd tetep burem jaring nonton hasil download tulis error sesal sih langgan baik,-7,1,Negatif
gk bisa di putar padahal sudah di donload... yg ada cm layar hitam...rating bintang pun sudah banyak nih... 0 bintang ini mah,1,2025-04-03 12:43:02,gk bisa di putar padahal sudah di donload... yg ada cm layar hitam...rating bintang pun sudah banyak nih... 0 bintang ini mah,gk bisa di putar padahal sudah di donload yg ada cm layar hitamrating bintang pun sudah banyak nih bintang ini mah,"['gk', 'bisa', 'di', 'putar', 'padahal', 'sudah', 'di', 'donload', 'yg', 'ada', 'cm', 'layar', 'hitamrating', 'bintang', 'pun', 'sudah', 'banyak', 'nih', 'bintang', 'ini', 'mah']",21,"['gk', 'putar', 'donload', 'cm', 'layar', 'hitamrating', 'bintang', 'nih', 'bintang', 'mah']",10,"['gk', 'putar', 'donload', 'cm', 'layar', 'hitamrating', 'bintang', 'nih', 'bintang', 'mah']",gk putar donload cm layar hitamrating bintang nih bintang mah,0,3,Netral
