content,score,at,translated_content
"tolong diperbaiki ,saya download film tapi film tidak dapat diputar ,cmn muter2 doang ,pdahal sbelumbya oke2 aja",2,2022-12-07 13:11:25,"tolong diperbaiki ,saya download film tapi film tidak dapat diputar ,cmn muter2 doang ,pdahal sbelumbya oke2 aja"
Kenapa engga bisa putar film/drama di Disney pakai kuota maxstream?padahal di keterangan bisa di pakai buat Disney ??,5,2022-12-07 12:40:48,Kenapa engga bisa putar film/drama di Disney pakai kuota maxstream?padahal di keterangan bisa di pakai buat Disney ??
Film nya sedikit yah,3,2022-12-07 12:24:05,Film nya sedikit yah
Mantappp,5,2022-12-07 11:05:28,Mantappp
Film nya bagus dan sangat bagus sekali aplikasinya tapi aku kasih info dlu Itu film need for speed nya ilang saya itu jarang pakai aplikasinya nah bulan September saya buka aplikasinya nah saya mau cari film need for speed trs saya cari trs kok gk ada??? Bisa dikembalikan film nya agar fans need for speed tidak kecewa itu aja info nya 🙏🙏🙏🙂,5,2022-12-07 08:57:51,Film nya bagus dan sangat bagus sekali aplikasinya tapi aku kasih info dlu Itu film need for speed nya ilang saya itu jarang pakai aplikasinya nah bulan September saya buka aplikasinya nah saya mau cari film need for speed trs saya cari trs kok gk ada??? Bisa dikembalikan film nya agar fans need for speed tidak kecewa itu aja info nya 🙏🙏🙏🙂
"Sepertinya ada bug. Setiap habis nge pause videonya, pas mau di play lagi selalu gagal. Loading terus dan endingnya suruh restart hp. Jadi kalo mau lanjut video harus restart hp dulu. Kaya gitu di hp honor 8x.",2,2022-12-07 08:38:12,"Sepertinya ada bug. Setiap habis nge pause videonya, pas mau di play lagi selalu gagal. Loading terus dan endingnya suruh restart hp. Jadi kalo mau lanjut video harus restart hp dulu. Kaya gitu di hp honor 8x."
Jojo ocean stone apa ndk rilis di disney plus kk,4,2022-12-07 06:40:21,Jojo ocean stone apa ndk rilis di disney plus kk
Saya donload dulu😊,3,2022-12-07 02:18:42,Saya donload dulu😊
"YANG BENER LAH MIN, MASA RESOLUSINYA BERUBAH"" SENDIRI . BIKIN SAKIT MATA",2,2022-12-07 00:12:21,"YANG BENER LAH MIN, MASA RESOLUSINYA BERUBAH"" SENDIRI . BIKIN SAKIT MATA"
Bagus tapi aplikasi N****** lebih bagus,3,2022-12-06 10:28:10,Bagus tapi aplikasi N****** lebih bagus
Nyebelin udh beli paket giganet kok masih ga bisa di buka,2,2022-12-06 09:36:57,"Nyebelin sudah beli paket giganet, kenapa belum bisa dibuka?"
Parah nih saya sudah daftar dan kesedot saldonya tp kok gagal.,1,2022-12-06 06:28:38,Parah nih saya sudah daftar dan kesedot saldonya tp kok gagal.
Aplikasi buka disney+ Hotstar segera di tahun 2023,5,2022-12-06 00:31:06,Aplikasi buka disney+ Hotstar segera di tahun 2023
0 star... Aplikasi rusak tidak bisa digunakan untuk menonton film...,1,2022-12-05 18:08:50,0 star... Aplikasi rusak tidak bisa digunakan untuk menonton film...
"Masa harus bayar dulu si baru bisa nonton,katanya dalam sosmed ini gratis ko bisa bayar tiba2 saya tidak terima",1,2022-12-05 17:02:15,"Masa harus bayar dulu si baru bisa nonton,katanya dalam sosmed ini gratis ko bisa bayar tiba2 saya tidak terima"
"Sumpah aplikasi ga berguna banget, mau streaming apa² harus langganan terus gak kayak aplikasi streaming yg lain😤",1,2022-12-05 16:13:37,"Sumpah aplikasi ga berguna banget, mau streaming apa² harus langganan terus gak kayak aplikasi streaming yg lain😤"
Bagus apk nya,5,2022-12-05 16:07:50,Bagus apk nya
Yang bug atau keluar sendiri. Yahh coba ganti hp. Jangan pake hp ram 2GB.,5,2022-12-05 13:11:24,Yang bug atau keluar sendiri. Yahh coba ganti hp. Jangan pake hp ram 2GB.
Banyak bug,2,2022-12-05 10:49:46,Banyak bug
"bamsat lo disney, gua udh keluarin duit mehong2 tapi kgk bisa dibuka",1,2022-12-05 09:19:58,"maaf disney, saya sudah mengeluarkan uangnya, tapi saya tidak bisa membukanya"
"Kenapa disney tiba2 ga bisa streaming yaaa, Padahal syg langganan nya sia2 ga bsa buat streaming. Tlg diprrbaiki",4,2022-12-05 09:10:10,"Kenapa disney tiba2 ga bisa streaming yaaa, Padahal syg langganan nya sia2 ga bsa buat streaming. Tlg diprrbaiki"
Lelet,1,2022-12-05 09:08:23,Lelet
"Pada sebagian paket internet kartu ada paket tertera termasuk layanan Disney+hotstar tapi kenapa tdak bisa nonton dan harus berlangganan ulang,( tdak nglink langsung)",5,2022-12-05 08:01:22,"Pada sebagian paket internet kartu ada paket tertera termasuk layanan Disney+hotstar tapi kenapa tdak bisa nonton dan harus berlangganan ulang,( tdak nglink langsung)"
"Selalu nonton di hp/ android tv.. dan ternyata kmrn baru upgrade tv yg smart tv dan ternyata udh ada untuk smart 5v, tpi kok ya ngeselin, di tonton sering ngefreezzz, pas lg nonton seru2 eh ngefreez.",2,2022-12-05 07:52:21,"Selalu nonton di hp/ android tv.. dan ternyata kmrn baru upgrade tv yg smart tv dan ternyata udh ada untuk smart 5v, tpi kok ya ngeselin, di tonton sering ngefreezzz, pas lg nonton seru2 eh ngefreez."
Kok sekarang gak bisa muter film ya malah black screen terus,3,2022-12-05 07:50:04,Kok sekarang gak bisa muter film ya malah black screen terus
Baru juga download knp g bisa di buka aplikasinya gmn nih min 😒,2,2022-12-05 00:03:22,"Saya baru saja mendownloadnya, bagaimana cara membuka aplikasinya?"
Kurang menarik nonton harus berlangganan dulu baru bisa nontok mendik nggak usah download ini apk,1,2022-12-04 16:55:34,Kurang menarik nonton harus berlangganan dulu baru bisa nontok mendik nggak usah download ini apk
"Cabut bintang 5 kemarin, Film dalam negeri benar ² sedikit , lebih baik inflix",2,2022-12-04 14:57:47,"Cabut bintang 5 kemarin, Film dalam negeri benar ² sedikit , lebih baik inflix"
Ini dinsey ada apa sih...bukan nya makin bagus...sekarang makin parah...signal lgi bagus2nya...tapi nonton selalu terganggu...seolah2 sinyal lagi gak bagus.Tolong di perbanyaklah drama terbaru jadi gak sia2 kalo berlangganan kaya aplikasi sebelah....terus drama thailand yg cuman ada di disney thailand please lah disney indo juga bisa.,2,2022-12-04 13:09:57,Ini dinsey ada apa sih...bukan nya makin bagus...sekarang makin parah...signal lgi bagus2nya...tapi nonton selalu terganggu...seolah2 sinyal lagi gak bagus.Tolong di perbanyaklah drama terbaru jadi gak sia2 kalo berlangganan kaya aplikasi sebelah....terus drama thailand yg cuman ada di disney thailand please lah disney indo juga bisa.
"berniat nambahin banyak menu ga saat nonton? misal, menu kecepatan video, nambahin cc atau subtitle menu opsi kualitas video yang ditonton",3,2022-12-04 12:15:46,"berniat nambahin banyak menu ga saat nonton? misal, menu kecepatan video, nambahin cc atau subtitle menu opsi kualitas video yang ditonton"
Apakah cuma hpku yg buat nonton di aplikasi ini jadi hank/freeze kemudian restart?padahal nonton video di aplikasi lain gak ada masalah(semisal youtube),2,2022-12-04 10:19:50,Apakah cuma hpku yg buat nonton di aplikasi ini jadi hank/freeze kemudian restart?padahal nonton video di aplikasi lain gak ada masalah(semisal youtube)
"film, drama nya keren2",5,2022-12-04 10:12:55,"film, drama nya keren2"
"Bulan pertama langganan baru sekali nonton setelah itu erorr gabisa dibuka jadi uda gapernah buka lagi dan bulan kedua tiba2 saldo shopeepay berkurang ternyata disedot pihak disney buat langganan lagi tapi tetep gak bisa dibuka, tolong balikin saldo saya aja",1,2022-12-04 08:54:49,"Bulan pertama langganan baru sekali nonton setelah itu erorr gabisa dibuka jadi uda gapernah buka lagi dan bulan kedua tiba2 saldo shopeepay berkurang ternyata disedot pihak disney buat langganan lagi tapi tetep gak bisa dibuka, tolong balikin saldo saya aja"
Okee.. kadang ngebug tapi so far ok,2,2022-12-04 08:40:50,Oke.. kadang sakit tapi sejauh ini tidak apa-apa
Mau daftar yg bulanan g d bolehin harus tahunan,1,2022-12-04 08:35:02,Mau daftar yg bulanan g d bolehin harus tahunan
"Bagus filem"" nya",4,2022-12-04 07:32:35,Itu film yang bagus
Woiiii...... Kita langanan pakek uang ya! Tolong donk 1 film punbgk bisa di putar!!!!!,1,2022-12-03 11:18:24,Wow...... Kami berlangganan menggunakan uang! Tolong jangan sampai 1 film pun dapat diputar!!!!!
"Sekedar saran, kalau mau log in pastikan ga selalu pakai kode sms. Kalau bisa melalui email atau WhatsApp. Karena kalau nunggu sms masuk lama. Terimakasih",4,2022-12-03 09:18:27,"Sekedar saran, kalau mau log in pastikan ga selalu pakai kode sms. Kalau bisa melalui email atau WhatsApp. Karena kalau nunggu sms masuk lama. Terimakasih"
Mantaplah...,5,2022-12-03 08:26:52,Mantaplah...
Kenapa ya kok subtitlenya kecil betul gabisa diperbesar kah ??,4,2022-12-03 07:01:58,Kenapa ya kok subtitlenya kecil betul gabisa diperbesar kah ??
BAGUSSS,5,2022-12-03 02:35:20,BAGUSSS
I like the old one,1,2022-12-02 17:51:36,Saya suka yang lama
"aplikasi yg lumayan bagus, akan tetapi cuman sedikit filmnya, saya harap bisa bekerja sama dengan DC",5,2022-12-02 15:51:25,"aplikasi yg lumayan bagus, akan tetapi cuman sedikit filmnya, saya harap bisa bekerja sama dengan DC"
"Drama mistresses yg sedang saya tonton tiba-tiba sudah tidak ada lg di disney+ hotstar, tolong di munculkan lagi. Saya langganan krn nonton drama itu. 😡🤬",1,2022-12-02 15:07:52,"Drama mistresses yg sedang saya tonton tiba-tiba sudah tidak ada lg di disney+ hotstar, tolong di munculkan lagi. Saya langganan krn nonton drama itu. 😡🤬"
Bagus harga murah sekali 😂😍😍,5,2022-12-02 08:58:39,Bagus harga murah sekali 😂😍😍
Berilah opsional supaya terhubung dng disney negara lain supaya videonya banyak pilihan...... kalo videonya cuma terbatas itu itu saja sedangkan bayarannya bulanan,3,2022-12-02 02:48:24,Berilah opsional supaya terhubung dng disney negara lain supaya videonya banyak pilihan...... kalo videonya cuma terbatas itu itu saja sedangkan bayarannya bulanan
Tidak bisa lanhganan,1,2022-12-01 16:48:51,Tidak bisa lanhganan
terjangkau harganya,5,2022-12-01 16:40:43,terjangkau harganya
"Bego apknya udh langganan 1 tahun, pindah hp malah ngga bisa di tonton",1,2022-12-01 13:17:39,"Bego apknya udh langganan 1 tahun, pindah hp malah ngga bisa di tonton"
Menyenangkan!!!,5,2022-12-01 12:29:27,Menyenangkan!!!
Laporin kendala dan lgsg bisa,5,2022-12-01 12:05:29,Laporin kendala dan lgsg bisa
"When i link it into my tv, it will drop the resolution even i change it into high quality but it doesn't work and no different, with another quality (low and mid) can it be fix or anyone else that can help resolve my problem? Thanks",5,2022-12-01 07:06:54,"Ketika saya menghubungkannya ke TV saya, resolusinya akan turun meskipun saya mengubahnya menjadi kualitas tinggi tetapi tidak berfungsi dan tidak berbeda, dengan kualitas lain (rendah dan menengah) apakah bisa diperbaiki atau ada orang lain yang dapat membantu menyelesaikan masalah saya? Terima kasih"
Aplikasi nya bagus,5,2022-12-01 05:25:09,Aplikasi nya bagus
Mau berlangganan 1 bulan engga bisa bayar hadehh parah,1,2022-12-01 01:53:48,Mau berlangganan 1 bulan engga bisa bayar hadehh parah
Aplikasi yang sangat bagussss⭐⭐⭐⭐⭐⭐⭐,5,2022-12-01 01:32:16,Aplikasi yang sangat bagussss⭐⭐⭐⭐⭐⭐⭐
Mantap,5,2022-11-30 16:17:40,Mantap
"Baru download dan daftar, tapi kualitas gambar kayak patah². Tolong diperbaiki.",2,2022-11-30 12:31:30,"Baru download dan daftar, tapi kualitas gambar kayak patah². Tolong diperbaiki."
Mantab,5,2022-11-30 08:59:59,Mantab
👍🏻👍🏻👍🏻👍🏻👍🏻,5,2022-11-30 05:54:09,👍🏻👍🏻👍🏻👍🏻👍🏻
"Streaming tanpa buffer , cukup lancar , untuk film film cukup bagus dan selalu up date",5,2022-11-30 01:42:59,"Streaming tanpa buffer , cukup lancar , untuk film film cukup bagus dan selalu up date"
Apk. Tidak bisa di akses,2,2022-11-29 17:37:50,Apk. Tidak bisa di akses
"Jaringan bagus, namun videonya tetap render... Buka YouTube lancar² saja, tolong tingkatkan lagi servernya. Tadinya Saya kasih bintang 2. Sekarang 1.",1,2022-11-29 15:31:28,"Jaringan bagus, namun videonya tetap render... Buka YouTube lancar² saja, tolong tingkatkan lagi servernya. Tadinya Saya kasih bintang 2. Sekarang 1."
"Kenapa kalo di pake nonton video nya patah patah gitu? Walaupun sudah di download tetap patah patah , bikin sakit kepala nonton nya , patah patah kaya nonton video di jeda jeda terus , parah , tolong di perbaiki",3,2022-11-29 13:25:33,"Kenapa kalo di pake nonton video nya patah patah gitu? Walaupun sudah di download tetap patah patah , bikin sakit kepala nonton nya , patah patah kaya nonton video di jeda jeda terus , parah , tolong di perbaiki"
Membosankan... Film terbaru lama update!,1,2022-11-29 10:41:29,Membosankan... Film terbaru lama update!
"Gw ga pernah ngerasa ikut berlangganan tiba tiba pulsa terpotong, ga ikhlas.. penipu",1,2022-11-29 09:45:34,"Gw ga pernah ngerasa ikut berlangganan tiba tiba pulsa terpotong, ga ikhlas.. penipu"
kenapa video incredibles 2 gua gabisa di puter? terima kasih,1,2022-11-28 22:53:59,kenapa video incredibles 2 gua gabisa di puter? terima kasih
"Saya sudah berlangganan untuk satu tahun, dan baru jalan 2 bulan, tiba2 status berlanggan saya hilang dan harus berlangganan lagi, kecewa sekali, kenapa harus curang gitu sih",1,2022-11-28 19:51:36,"Saya sudah berlangganan untuk satu tahun, dan baru jalan 2 bulan, tiba2 status berlanggan saya hilang dan harus berlangganan lagi, kecewa sekali, kenapa harus curang gitu sih"
Aplikasi apa ini? Dipencarian kok ga ada Radha Krishna buang2 uang aja percuma berlangganan,1,2022-11-28 17:41:21,Aplikasi apa ini? Dipencarian kok ga ada Radha Krishna buang2 uang aja percuma berlangganan
Sering banget tidak bisa open aplikasi,3,2022-11-28 16:24:49,Sering banget tidak bisa open aplikasi
Tolong ini knp bisa bug ? Padalah sudah beli Kouta Telkomsel+ pelanggan Disney hotstar tapi pas masuk sudah login menggunakan akun sendiri tidak ada pelanggan Disney hotstar? Padalah sudah beli 45k kenapa harus bug ini pengalaman pertama saya sangat buruk dan merugikan saya sendiri semoga orang lain tidak mengalami seperti saya !,2,2022-11-28 11:42:04,Tolong ini knp bisa bug ? Padalah sudah beli Kouta Telkomsel+ pelanggan Disney hotstar tapi pas masuk sudah login menggunakan akun sendiri tidak ada pelanggan Disney hotstar? Padalah sudah beli 45k kenapa harus bug ini pengalaman pertama saya sangat buruk dan merugikan saya sendiri semoga orang lain tidak mengalami seperti saya !
makin hari makin ga jelas.. ga bisa diputer pdhal udh berlangganan,1,2022-11-28 07:15:05,makin hari makin ga jelas.. ga bisa diputer pdhal udh berlangganan
Resolusi mengecewakan,5,2022-11-28 01:16:02,Resolusi mengecewakan
Aplikasinya bagus tapi kenapa film Titanic di hilangkan?,5,2022-11-28 00:37:42,Aplikasinya bagus tapi kenapa film Titanic di hilangkan?
Payah nih Tiba tiba ga bisa di buka Udah bayar paket 1 tahun baru nikmatin 2 bulan udah ga bisa di pake,1,2022-11-27 16:30:40,Payah nih Tiba tiba ga bisa di buka Udah bayar paket 1 tahun baru nikmatin 2 bulan udah ga bisa di pake
Bravoo,5,2022-11-27 15:15:19,Bagus sekali
Kaya apa ini ganti akun emailnya ..mau pembayaran kok bukan email saya sendiri yang dikaitkan,1,2022-11-27 13:52:42,Kaya apa ini ganti akun emailnya ..mau pembayaran kok bukan email saya sendiri yang dikaitkan
"Saya Baru Mengunduh Aplikasi Ini Karena Saya Sangat² Menyukai Semua Hal Tentang Disney Salah Satunya Cartoon Disney Dan Ternyata Disini Semuanya Malahan Paket Komplit Dari Cartoon Disney Old Sampai Yang New Bahkan Dari Pixar Pun Ada, Semuanya Ada Hanya Dalam Satu Aplikasi Bahkan Film²nya Pun Dari Semua Genre Ada Begitupun Drakornya, Benar² Sangat Memuaskan MANA LAGI SEKARANG BISA SAYA MEMILIH MAU PAKE DUBBING INDONESIA, BENAR² DIMANJAKAN PADA SAAT MENONTON POKOKNYA THE BEST",5,2022-11-27 13:26:18,"Saya Baru Mengunduh Aplikasi Ini Karena Saya Sangat² Menyukai Semua Hal Tentang Disney Salah Satunya Cartoon Disney Dan Ternyata Disini Semuanya Malahan Paket Komplit Dari Cartoon Disney Old Sampai Yang New Bahkan Dari Pixar Pun Ada, Semuanya Ada Hanya Dalam Satu Aplikasi Bahkan Film²nya Pun Dari Semua Genre Ada Begitupun Drakornya, Benar² Sangat Memuaskan MANA LAGI SEKARANG BISA SAYA MEMILIH MAU PAKE DUBBING INDONESIA, BENAR² DIMANJAKAN PADA SAAT MENONTON POKOKNYA THE BEST"
Idid,3,2022-11-27 12:03:57,Ya
"Udah beberapa hari terakhir gak bisa nonton loading doang gak muncul filmnya, tolong dong diperbaiki hotstar. Anjir lah makin parah aja nih apps gak bisa nonton gw loading nya lama",2,2022-11-27 09:07:50,"Udah beberapa hari terakhir gak bisa nonton loading doang gak muncul filmnya, tolong dong diperbaiki hotstar. Anjir lah makin parah aja nih apps gak bisa nonton gw loading nya lama"
Begini ya min. Aku mau kasih bintang penuh kalau konten Radha Krishna dilanjutkan dari eps 65 yang ada di hotstar sampai season 6 ya. Padahal saya berharap dilanjutin malah dihapus. Gimana sih. Kenapa serial drama India banyak yang dihapus. Kok gak seperti dulu lagi sih. Yang seharusnya di perbaiki dan dilanjutin yang sudah ada malah di hapus. Haduh min. Saya hanya kecewa sama Hotstar bukan Disney nya.,1,2022-11-27 03:26:56,Begini ya min. Aku mau kasih bintang penuh kalau konten Radha Krishna dilanjutkan dari eps 65 yang ada di hotstar sampai season 6 ya. Padahal saya berharap dilanjutin malah dihapus. Gimana sih. Kenapa serial drama India banyak yang dihapus. Kok gak seperti dulu lagi sih. Yang seharusnya di perbaiki dan dilanjutin yang sudah ada malah di hapus. Haduh min. Saya hanya kecewa sama Hotstar bukan Disney nya.
Tambahin chainsaw man dong,5,2022-11-27 01:47:39,Tambahin chainsaw man dong
Tap,5,2022-11-27 01:38:53,Mengetuk
"Kenapa Disney hotstar di tivi saya gak bisa lg menayangkan film ya, tadi aman2 saja, tp sejak kemarin malam bermasalah. Kalo di HP gak ada masalah, lancar",2,2022-11-26 23:55:40,"Kenapa Disney hotstar di tivi saya gak bisa lg menayangkan film ya, tadi aman2 saja, tp sejak kemarin malam bermasalah. Kalo di HP gak ada masalah, lancar"
"Makin hari makin jelek Disney, pas nonton layar tiba tiba gk jelas kek ngecrash warna hijau hijau kayak tinta bocor, padahal masih oke aja pas nonton di laptop, eh pas pindah ke laptop beberapa hari ini, malah gk bisa login padahal udh bener semua login nya, malah keluar nya Disney India, kan breenegsek, ini udh lama loh, udh pusing mikirin nya, mana udh Bayat setahun, sialan lah",1,2022-11-26 18:27:38,"Makin hari makin jelek Disney, pas nonton layar tiba tiba gk jelas kek ngecrash warna hijau hijau kayak tinta bocor, padahal masih oke aja pas nonton di laptop, eh pas pindah ke laptop beberapa hari ini, malah gk bisa login padahal udh bener semua login nya, malah keluar nya Disney India, kan breenegsek, ini udh lama loh, udh pusing mikirin nya, mana udh Bayat setahun, sialan lah"
"Tolong untuk film dan serial indanya lebih banyak lagi, dulu kan hotstar itu cuma india aja",3,2022-11-26 15:07:59,"Tolong untuk film dan serial indanya lebih banyak lagi, dulu kan hotstar itu cuma india aja"
the besto,5,2022-11-26 14:34:20,yang terdiri
Males banget skrg gabisa di mirroring ke tv lagi,2,2022-11-26 13:42:16,Males banget skrg gabisa di mirroring ke tv lagi
"Harus berlangganan tidak kayak dulu beli kouta Telkomsel,bisa dapat kouta 6GB untuk nonton disney+",1,2022-11-26 12:41:30,"Harus berlangganan tidak kayak dulu beli kouta Telkomsel,bisa dapat kouta 6GB untuk nonton disney+"
Good,5,2022-11-26 05:50:11,Bagus
"Bagus, film dan dramanya juga banyak. Sayang sering buffering. Pdhal jaringan lancar",3,2022-11-26 05:44:20,"Bagus, film dan dramanya juga banyak. Sayang sering buffering. Pdhal jaringan lancar"
"Kash bintang 3 dulu,,kalo lancar dan tidak ada kendala baru dirubah lagi",3,2022-11-26 02:13:52,"Kash bintang 3 dulu,,kalo lancar dan tidak ada kendala baru dirubah lagi"
"Cinta banget sama aplikasi ini, harga ramah banget bisa buka di hp, laptop, tv tanpa biaya tambahan kayak sebelah.. Marvel si yg paling diincar sama kartun Disney.. terimakasih banyak",5,2022-11-25 23:45:25,"Cinta banget sama aplikasi ini, harga ramah banget bisa buka di hp, laptop, tv tanpa biaya tambahan kayak sebelah.. Marvel si yg paling diincar sama kartun Disney.. terimakasih banyak"
pendoo bet,5,2022-11-25 10:11:46,taruhan pendoo
"Hey anda ya anda, saya mau login knp kode otp tidak ada hey hey",3,2022-11-25 08:32:40,"Hey anda ya anda, saya mau login knp kode otp tidak ada hey hey"
Tolong tim defeloper masa aku sd ada paket St BLN suda terdaftar ko pas mau nonton minta berlangganan gi mana nie,2,2022-11-25 00:16:34,Tolong tim defeloper masa aku sd ada paket St BLN suda terdaftar ko pas mau nonton minta berlangganan gi mana nie
Ini ngapa aplikasinya selalu cobalah beberapa saat lagi...padahal perpanjang otomatis malah ga bisa di gunain...udh 2 minggu ga masuk aplikasi tiba tiba perpanjang malah kena zonk aplikasi ga bisa di buka,1,2022-11-24 21:48:50,Ini ngapa aplikasinya selalu cobalah beberapa saat lagi...padahal perpanjang otomatis malah ga bisa di gunain...udh 2 minggu ga masuk aplikasi tiba tiba perpanjang malah kena zonk aplikasi ga bisa di buka
"Kecewa banget sumpah. Udah 2x ini eror mulu, kesalahan memutar konten ini karena masalah DRM. Silahkan coba lagi (PL-1206) Udh coba unisntal, trs pasang ulang, hapus cache, log out. Ttp aja hasilnya sama. Udh email juga tpi tidak memberikan solusi yg signifikan. Dahlah capek, berhenti langganan dan unsinstal permanen. Bye !",1,2022-11-24 15:10:26,"Kecewa banget sumpah. Udah 2x ini eror mulu, kesalahan memutar konten ini karena masalah DRM. Silahkan coba lagi (PL-1206) Udh coba unisntal, trs pasang ulang, hapus cache, log out. Ttp aja hasilnya sama. Udh email juga tpi tidak memberikan solusi yg signifikan. Dahlah capek, berhenti langganan dan unsinstal permanen. Bye !"
Kok Kartu/animasi amphibia cuma sampai episode 14 doang? Kapan update?,2,2022-11-24 14:47:10,Kok Kartu/animasi amphibia cuma sampai episode 14 doang? Kapan update?
"kadang-kadang videonya patah"", pdhal video sdh di download dan hp dalam keadaan stabil. tp terasa sangat lag",2,2022-11-24 14:24:28,"kadang-kadang videonya patah"", pdhal video sdh di download dan hp dalam keadaan stabil. tp terasa sangat lag"
Gimana sih di tungguin kode otpnya gak muncul2..,1,2022-11-24 07:45:18,Gimana sih di tungguin kode otpnya gak muncul2..
Loading nya lama ga bisa di bukaaaaa!!,1,2022-11-24 07:01:39,Loading nya lama ga bisa di bukaaaaa!!
Mantap,1,2022-11-24 06:37:32,Mantap
Baru berlangganan mau nonton malah Black Screen tolong lah perbaikin,1,2022-11-23 20:18:16,Baru berlangganan mau nonton malah Black Screen tolong lah perbaikin
Filem nya sedikit dan jadul semua. Membosankan,1,2022-11-23 17:14:24,Filem nya sedikit dan jadul semua. Membosankan
Hapus aja lah makin lama bukan makin bagus malah tambah gak ada free langganan nya PARAHHHHHH,1,2022-11-23 13:50:55,Hapus aja lah makin lama bukan makin bagus malah tambah gak ada free langganan nya PARAHHHHHH
tidak mengecewakan.,5,2022-11-23 12:09:27,tidak mengecewakan.
Knp saya tidak berlangganan yaa setelah di update apknya,1,2022-11-23 11:41:10,Knp saya tidak berlangganan yaa setelah di update apknya
"Tidak bisa diplay, loading terus",1,2022-11-23 11:39:53,"Tidak bisa diplay, loading terus"
Nambahin film elit Nambahin episode sulit,4,2022-11-23 09:32:46,Nambahin film elit Nambahin episode sulit
Ga bisa di tonton. Muter terus. Padahal jaringan bagus. Aku bayar lo ini,2,2022-11-23 03:43:38,Ga bisa di tonton. Muter terus. Padahal jaringan bagus. Aku bayar lo ini
update filmnya lama,2,2022-11-22 19:17:02,update filmnya lama
Good Apk,5,2022-11-22 17:35:18,Apk yang bagus
Film terbaru nya kok gak ada. FiLm india juga kok sdikit banget. Perbanyak fiLm india dong & film jaduL indonesia,3,2022-11-22 17:17:40,Film terbaru nya kok gak ada. FiLm india juga kok sdikit banget. Perbanyak fiLm india dong & film jaduL indonesia
"Film yg diputar di tv, ketika mau dilanjutkan di hp malah error dan blank hitam serta muncul popup Disney+ tidak merespon. Tidak bisa diplay.",1,2022-11-22 15:37:54,"Film yg diputar di tv, ketika mau dilanjutkan di hp malah error dan blank hitam serta muncul popup Disney+ tidak merespon. Tidak bisa diplay."
Dikembangin lagi!!,5,2022-11-22 09:05:10,Dikembangin lagi!!
"Udh langganan tpi video tidak bisa diputar cmn loading aja padahal sinyal oke oke aja dan pakai wifi jga tidak bisa, tolong diperbaiki dong, sayng padahal sudah langganan tpi malah tidak bisa nonton video apapun",1,2022-11-22 09:04:16,"Udh langganan tpi video tidak bisa diputar cmn loading aja padahal sinyal oke oke aja dan pakai wifi jga tidak bisa, tolong diperbaiki dong, sayng padahal sudah langganan tpi malah tidak bisa nonton video apapun"
Lama banget nunggu kode Verifikasi,1,2022-11-22 04:48:20,Lama banget nunggu kode Verifikasi
Ini mau berlangganan masa ga bisa klik virtual buat pembayarannya . Heran,1,2022-11-22 03:20:09,Ini mau berlangganan masa ga bisa klik virtual buat pembayarannya . Heran
Gak bisa nontong lg sambil telfon WA,1,2022-11-21 14:23:45,Gak bisa nontong lg sambil telfon WA
Good,5,2022-11-21 11:41:07,Bagus
Muncul something wrong,1,2022-11-21 03:11:17,Muncul something wrong
Suga yang tidak,5,2022-11-21 02:35:53,Suga yang tidak
"mau berlangganan ""BAYAR"" aja pun susah kali, berlangganan bulanan gak ada pilihan bayarnya, dialihkan ke tahunan, udah ke tahunan mau bayar gadak pilihan bayarnya 🤦‍♂️🖕",1,2022-11-20 23:40:48,"mau berlangganan ""BAYAR"" aja pun susah kali, berlangganan bulanan gak ada pilihan bayarnya, dialihkan ke tahunan, udah ke tahunan mau bayar gadak pilihan bayarnya 🤦‍♂️🖕"
"Tampilan nge frame atau patah-patah, kalau habis dibersihkan chace nya trus di restart hp normal lagi, tapi kadang gak ada 5 menit kembali lagi gitu",2,2022-11-20 13:19:19,"Tampilan nge frame atau patah-patah, kalau habis dibersihkan chace nya trus di restart hp normal lagi, tapi kadang gak ada 5 menit kembali lagi gitu"
"Eror hari ini ga bisa nonton, kalo udah bener baru ubah rating",5,2022-11-20 12:44:56,"Eror hari ini ga bisa nonton, kalo udah bener baru ubah rating"
Sering error padahal sudah langganan,1,2022-11-20 12:15:23,Sering error padahal sudah langganan
Lag,2,2022-11-20 12:02:51,Ketinggalan
OTP TERLALU LAMA,1,2022-11-20 08:02:22,OTP TERLALU LAMA
"Woiii Tolol, nge-bug mulu woiii. Streaming berbayar tp kualitas sama kek LK21. Fix unsubscript sih, SAMPAH!!",1,2022-11-20 07:58:59,"Woiii Tolol, nge-bug mulu woiii. Streaming berbayar tp kualitas sama kek LK21. Fix unsubscript sih, SAMPAH!!"
Blm langanan 1bln dah ga bisa akses,1,2022-11-20 07:32:09,Blm langanan 1bln dah ga bisa akses
Setelah beli paket nenapa filmnya tidak bisa di putar. percuma kaga bisa nonton,3,2022-11-20 07:29:03,Setelah beli paket nenapa filmnya tidak bisa di putar. percuma kaga bisa nonton
"Gak bisa mainakan video, setelah 2 bulan baik2 saja, keterangan di aplikasi ""mengalami masalah dalam pemutaran video, silahkan coba judul lain ER_PB_1413"" semua judul film lain sama aja ga bisa diputar, gimana solusinya?",2,2022-11-20 07:28:00,"Gak bisa mainakan video, setelah 2 bulan baik2 saja, keterangan di aplikasi ""mengalami masalah dalam pemutaran video, silahkan coba judul lain ER_PB_1413"" semua judul film lain sama aja ga bisa diputar, gimana solusinya?"
